Year,Quarter,Month,Day,total sales
2013,Qtr 3,September,1,4484000.029999999
2013,Qtr 4,October,1,9295611.099999998
2013,Qtr 4,November,1,7267203.3
2013,Qtr 4,December,1,5368441.08
2014,Qtr 1,January,1,6607761.68
2014,Qtr 1,February,1,7297531.390000001
2014,Qtr 1,March,1,5586859.869999999
2014,Qtr 2,April,1,6964775.07
2014,Qtr 2,May,1,6210211.0600000005
2014,Qtr 2,June,1,9518893.819999997
2014,Qtr 3,July,1,8102920.180000002
2014,Qtr 3,August,1,5864622.42
2014,Qtr 3,September,1,6398697.24
2014,Qtr 4,October,1,12375819.920000004
2014,Qtr 4,November,1,5384214.2
2014,Qtr 4,December,1,11998787.9
